Film Name,Alternative Name,Venue,Theater Number,Film Screen Date,Film Run Time (minutes),Film Block Id,Film Sequence in Block,Film Block Start Time,Film Block End Time,Approx Sequence Start Time,Film Block has Q&A,Approximate Time for Q&A Per Block,Category
Thayakam (தாயகம் / motherland),,AMC River East 21,5,2026-09-17,76,1,1,12:00 PM,1:30 PM,12:00 PM,Yes,14,
Dear Abu,,AMC River East 21,5,2026-09-17,29,2,2,1:30 PM,3:30 PM,1:40 PM,Maybe,46,
Moti,,AMC River East 21,5,2026-09-17,16,2,3,1:30 PM,3:30 PM,2:09 PM,Maybe,46,
The Bridge,,AMC River East 21,5,2026-09-17,19,2,4,1:30 PM,3:30 PM,2:25 PM,Maybe,46,
Dhan Ki Devi (Goddess Of Wealth),,AMC River East 21,5,2026-09-17,10,2,1,1:30 PM,3:30 PM,1:30 PM,Maybe,46,
Daddu Zindabad (Long Live Grandpa),,AMC River East 21,5,2026-09-17,22,3,1,3:30 PM,5:00 PM,3:30 PM,Yes,22,
Punishment,,AMC River East 21,5,2026-09-17,20,3,2,3:30 PM,5:00 PM,3:52 PM,Yes,22,
Ghee,,AMC River East 21,5,2026-09-17,16,3,3,3:30 PM,5:00 PM,4:12 PM,Yes,22,
Meethi,,AMC River East 21,5,2026-09-17,10,3,4,3:30 PM,5:00 PM,4:28 PM,Yes,22,
Halal Bodies,,AMC River East 21,5,2026-09-17,16,4,4,5:00 PM,7:00 PM,6:09 PM,Yes,35,
Threading the American Dream,,AMC River East 21,5,2026-09-17,25,4,1,5:00 PM,7:00 PM,5:00 PM,Yes,35,
More Punk Than Punk,,AMC River East 21,5,2026-09-17,24,4,2,5:00 PM,7:00 PM,5:25 PM,Yes,35,
Portrait,,AMC River East 21,5,2026-09-17,20,4,3,5:00 PM,7:00 PM,5:49 PM,Yes,35,
In the Chaos of Diwali,Diwali Ke Shor Mein,AMC River East 21,5,2026-09-17,102,5,2,7:00 PM,9:30 PM,7:11 PM,Yes,37,
Saala Sean,,AMC River East 21,5,2026-09-17,11,5,1,7:00 PM,9:30 PM,7:00 PM,Yes,37,
Songs of Forgotten Trees,,AMC River East 21,5,2026-09-17,77,6,2,9:30 PM,11:30 PM,9:38 PM,Yes,35,
3:30,,AMC River East 21,5,2026-09-17,8,6,1,9:30 PM,11:30 PM,9:30 PM,Yes,35,
The Walk,,AMC River East 21,9,2026-09-18,94,7,1,12:00 PM,2:00 PM,12:00 PM,Yes,26,
After Moonrise,,AMC River East 21,7,2026-09-18,14,8,2,12:00 PM,2:00 PM,12:17 PM,Yes,27,
Senior KG,,AMC River East 21,7,2026-09-18,17,8,1,12:00 PM,2:00 PM,12:00 PM,Yes,27,
The Sale,,AMC River East 21,7,2026-09-18,16,8,5,12:00 PM,2:00 PM,1:17 PM,Yes,27,
Rainbows in Monochrome,,AMC River East 21,7,2026-09-18,30,8,3,12:00 PM,2:00 PM,12:31 PM,Yes,27,
Aayat,,AMC River East 21,7,2026-09-18,16,8,4,12:00 PM,2:00 PM,1:01 PM,Yes,27,
Amish Ammayi,,AMC River East 21,7,2026-09-18,18,9,3,2:00 PM,3:30 PM,2:29 PM,Yes,20,
BY DESIGN,,AMC River East 21,7,2026-09-18,14,9,2,2:00 PM,3:30 PM,2:15 PM,Yes,20,
Comfort Food,,AMC River East 21,7,2026-09-18,15,9,1,2:00 PM,3:30 PM,2:00 PM,Yes,20,
Room at the Farm,(Khoo Waala Ghar),AMC River East 21,7,2026-09-18,23,9,4,2:00 PM,3:30 PM,2:47 PM,Yes,20,
PEANUT,,AMC River East 21,7,2026-09-18,16,11,3,3:30 PM,5:00 PM,4:00 PM,Yes,29,
From Nowhere,,AMC River East 21,7,2026-09-18,15,11,4,3:30 PM,5:00 PM,4:16 PM,Yes,29,
Parampara II,,AMC River East 21,7,2026-09-18,10,11,2,3:30 PM,5:00 PM,3:50 PM,Yes,29,
This Tree Won't Fall,,AMC River East 21,7,2026-09-18,20,11,1,3:30 PM,5:00 PM,3:30 PM,Yes,29,
Aasmani,,AMC River East 21,7,2026-09-18,29,13,3,5:00 PM,6:30 PM,5:28 PM,Yes,33,
Dear Tillo,,AMC River East 21,7,2026-09-18,19,13,2,5:00 PM,6:30 PM,5:09 PM,Yes,33,
WHAT REMAINS OF US,,AMC River East 21,7,2026-09-18,9,13,1,5:00 PM,6:30 PM,5:00 PM,Yes,33,
Carmeni Selvam,,AMC River East 21,9,2026-09-18,130,10,1,2:00 PM,4:30 PM,2:00 PM,Yes,20,
Bismillah,,AMC River East 21,9,2026-09-18,16,12,1,4:30 PM,6:30 PM,4:30 PM,Yes,28,
Jyoti,,AMC River East 21,9,2026-09-18,76,12,2,4:30 PM,6:30 PM,4:46 PM,Yes,28,
Boong (1st show),,AMC River East 21,7,2026-09-18,94,14,1,8:00 PM,10:30 PM,8:00 PM,Yes,56,
Boong (2nd show),,AMC River East 21,9,2026-09-18,94,15,1,8:30 PM,11:00 PM,8:30 PM,Yes,56,
Flowers of Acacia,,AMC River East 21,5,2026-09-19,87,16,1,12:00 PM,2:00 PM,12:00 PM,No,33,
Sonia Honey,,AMC River East 21,5,2026-09-19,12,20,1,4:00 PM,5:30 PM,4:00 PM,Yes,26,
Saradambaram,,AMC River East 21,5,2026-09-19,52,20,2,4:00 PM,5:30 PM,4:12 PM,Yes,26,
The Elysian Field,,AMC River East 21,5,2026-09-19,90,22,1,5:30 PM,7:30 PM,5:30 PM,Maybe,30,
Lala & Poppy,,AMC River East 21,5,2026-09-19,91,24,2,7:30 PM,10:00 PM,7:50 PM,Yes,39,
Almari ka Achaar (Cupboard Pickle),,AMC River East 21,5,2026-09-19,20,24,1,7:30 PM,10:00 PM,7:30 PM,Yes,39,
Ustad Bantoo,,AMC River East 21,5,2026-09-19,120,26,1,10:00 PM,11:30 PM,10:00 PM,Yes,-30,
Calorie,,AMC River East 21,7,2026-09-19,106,17,2,12:00 PM,2:30 PM,12:15 PM,No,29,
